2448410.500000000, A.D. 1991-Jun-03 00:00:00.0000,  2.349831815407466E-01, -4.574169528383257E+00, -2.532510456934292E-01,  4.426965903667836E-03,  3.174989628136388E-03, -5.227256026988185E-04,  2.649344272119652E-02,  4.587197408237598E+00, -2.910338553965364E-03,
2448424.500000000, A.D. 1991-Jun-17 00:00:00.0000,  2.968839814971315E-01, -4.528337836774772E+00, -2.604916893504726E-01,  4.415503589146955E-03,  3.372966256024528E-03, -5.115486777896445E-04,  2.625278968220448E-02,  4.545529626199380E+00, -3.042502280589152E-03,
2448438.500000000, A.D. 1991-Jul-01 00:00:00.0000,  3.586028404935146E-01, -4.479709951663535E+00, -2.675714281717400E-01,  4.400944881668545E-03,  3.574483645377306E-03, -4.997328513438400E-04,  2.600137564959837E-02,  4.501998635874648E+00, -3.176532368565851E-03,
2448452.500000000, A.D. 1991-Jul-15 00:00:00.0000,  4.200950861435545E-01, -4.428234717045224E+00, -2.744810415300726E-01,  4.383096252966407E-03,  3.779767874048407E-03, -4.872381795225445E-04,  2.573904467043931E-02,  4.456577434849078E+00, -3.312551996929306E-03,
2448466.500000000, A.D. 1991-Jul-29 00:00:00.0000,  4.813132068510869E-01, -4.373857795121692E+00, -2.812107306814404E-01,  4.361747910423665E-03,  3.989050509835420E-03, -4.740219616508061E-04,  2.546563106494019E-02,  4.409237336556795E+00, -3.450681278822315E-03,
2448480.500000000, A.D. 1991-Aug-12 00:00:00.0000,  5.422066296622654E-01, -4.316521477083981E+00, -2.877500709537293E-01,  4.336670540199546E-03,  4.202582157095604E-03, -4.600372538310580E-04,  2.518095908944103E-02,  4.359947911926342E+00, -3.591049523205665E-03,
2448494.500000000, A.D. 1991-Aug-26 00:00:00.0000,  6.027213905804617E-01, -4.256164408361903E+00, -2.940879458191799E-01,  4.307608296686251E-03,  4.420632924568078E-03, -4.452320873848931E-04,  2.488484217686756E-02,  4.308676857870177E+00, -3.733794850256023E-03,
2448508.500000000, A.D. 1991-Sep-09 00:00:00.0000,  6.627997419455702E-01, -4.192721322494970E+00, -3.002124743316195E-01,  4.274276810709846E-03,  4.643491437766205E-03, -4.295492423752547E-04,  2.457708231700974E-02,  4.255389889983220E+00, -3.879061703078660E-03,
2448522.500000000, A.D. 1991-Sep-23 00:00:00.0000,  7.223797795546796E-01, -4.126122739540464E+00, -3.061109355313187E-01,  4.236365679375152E-03,  4.871474901724760E-03, -4.129254990408148E-04,  2.425746941887065E-02,  4.200050632136978E+00, -4.027007989212119E-03,
2448536.500000000, A.D. 1991-Oct-07 00:00:00.0000,  7.813949270700555E-01, -4.056294466402960E+00, -3.117696611330007E-01,  4.193513156002917E-03,  5.104935485884492E-03, -3.952885983765026E-04,  2.392577962354174E-02,  4.142620324362960E+00, -4.177812907904131E-03,
2448550.500000000, A.D. 1991-Oct-21 00:00:00.0000,  8.397731834736468E-01, -3.983157269573351E+00, -3.171739174875611E-01,  4.145309480405555E-03,  5.344242190352548E-03, -3.765587847185666E-04,  2.358177455664413E-02,  4.083057693416897E+00, -4.331656345591663E-03,
2448564.500000000, A.D. 1991-Nov-04 00:00:00.0000,  8.974364940756001E-01, -3.906626536194322E+00, -3.223077940773297E-01,  4.091296914875857E-03,  5.589796273261458E-03, -3.566472397085014E-04,  2.322520086036481E-02,  4.021318871753314E+00, -4.488730609062708E-03,
2448578.500000000, A.D. 1991-Nov-18 00:00:00.0000,  9.542999742336891E-01, -3.826611785394521E+00, -3.271540613784228E-01,  4.030955596548510E-03,  5.842034818367432E-03, -3.354541011297008E-04,  2.285578902960492E-02,  3.957357196010876E+00, -4.649242507520510E-03,
2448592.500000000, A.D. 1991-Dec-02 00:00:00.0000,  1.010270965769654E+00, -3.743016165492047E+00, -3.316940060601425E-01,  3.963693518815753E-03,  6.101430791245934E-03, -3.128670478761987E-04,  2.247325232913629E-02,  3.891123019523819E+00, -4.813410777954108E-03,
2448606.500000000, A.D. 1991-Dec-16 00:00:00.0000,  1.065247991294459E+00, -3.655735932817399E+00, -3.359072476299593E-01,  3.888842137928207E-03,  6.368498669039259E-03, -2.887598268428296E-04,  2.207728591553988E-02,  3.822563560290333E+00, -4.981466319034904E-03,
2448620.500000000, A.D. 1991-Dec-30 00:00:00.0000,  1.119119548809590E+00, -3.564659730595962E+00, -3.397715145863824E-01,  3.805630098115883E-03,  6.643811317084794E-03, -2.629877116002728E-04,  2.166756518264506E-02,  3.751622614494238E+00, -5.153667592674094E-03,
2448634.500000000, A.D. 1992-Jan-13 00:00:00.0000,  1.171762457670995E+00, -3.469667890492194E+00, -3.432623695914648E-01,  3.713161761633948E-03,  6.927981337907342E-03, -2.353861367050952E-04,  2.124374418379120E-02,  3.678240283328059E+00, -5.330280277864351E-03,
2448648.500000000, A.D. 1992-Jan-27 00:00:00.0000,  1.223040124916613E+00, -3.370631824887548E+00, -3.463529204974020E-01,  3.610412375285093E-03,  7.221673790962266E-03, -2.057680898456548E-04,  2.080545519061483E-02,  3.602352896599372E+00, -5.511579930490477E-03,
2448662.500000000, A.D. 1992-Feb-10 00:00:00.0000,  1.272800524011118E+00, -3.267413199762486E+00, -3.490134695201075E-01,  3.496196509194019E-03,  7.525616587709708E-03, -1.739189744224542E-04,  2.035230756924648E-02,  3.523892818150344E+00, -5.697857227095446E-03,
2448676.500000000, A.D. 1992-Feb-24 00:00:00.0000,  1.320873715889620E+00, -3.159863029833987E+00, -3.512110922440875E-01,  3.369134863941413E-03,  7.840603934300520E-03, -1.395915415190803E-04,  1.988388668068338E-02,  3.442788255463145E+00, -5.889414397344910E-03,
2448690.500000000, A.D. 1992-Mar-09 00:00:00.0000,  1.367068892285745E+00, -3.047820725082560E+00, -3.529091413559974E-01,  3.227619787755224E-03,  8.167501246701844E-03, -1.025001193177541E-04,  1.939975320230505E-02,  3.358963142184026E+00, -6.086559116417967E-03,
2448704.500000000, A.D. 1992-Mar-23 00:00:00.0000,  1.411170865699622E+00, -2.931112957997853E+00, -3.540666499439988E-01,  3.069762665875188E-03,  8.507265980829563E-03, -6.231125590207664E-05,  1.889944244995854E-02,  3.272337020746016E+00, -6.289613645151127E-03,
2448718.500000000, A.D. 1992-Apr-06 00:00:00.0000,  1.452935546708712E+00, -2.809552395819827E+00, -3.546375856537886E-01,  2.893313148420571E-03,  8.860936790184888E-03, -1.863352332266463E-05,  1.838246341130369E-02,  3.182824874997841E+00, -6.498899980873974E-03,
2448732.500000000, A.D. 1992-Apr-20 00:00:00.0000,  1.492084473256390E+00, -2.682936623275492E+00, -3.545699744838995E-01,  2.695597267780205E-03,  9.229633031747526E-03,  2.899292673355210E-05,  1.784829994969435E-02,  3.090337338649490E+00, -6.714717326368609E-03,
2448746.500000000, A.D. 1992-May-04 00:00:00.0000,  1.528298168898175E+00, -2.551046925327038E+00, -3.538048281331916E-01,  2.473408882577664E-03,  9.614563140665736E-03,  8.111336184556857E-05,  1.729641287919065E-02,  2.994781054549466E+00, -6.937333111435306E-03,
